15:37:31.974 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - [buildDefaultMergedContextConfiguration,308] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.system.SpringBoot07ApplicationTests], using SpringBootContextLoader
15:37:31.986 [main] INFO  o.s.t.c.s.AbstractContextLoader - [generateDefaultLocations,264] - Could not detect default resource locations for test class [com.system.SpringBoot07ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
15:37:31.988 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - [detectDefaultConfigurationClasses,83] - Could not detect default configuration classes for test class [com.system.SpringBoot07ApplicationTests]: SpringBoot07ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:42:53.520 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - [buildDefaultMergedContextConfiguration,308] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.system.SpringBoot07ApplicationTests], using SpringBootContextLoader
15:42:53.534 [main] INFO  o.s.t.c.s.AbstractContextLoader - [generateDefaultLocations,264] - Could not detect default resource locations for test class [com.system.SpringBoot07ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
15:42:53.535 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - [detectDefaultConfigurationClasses,83] - Could not detect default configuration classes for test class [com.system.SpringBoot07ApplicationTests]: SpringBoot07ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:44:30.881 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - [buildDefaultMergedContextConfiguration,308] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.system.SpringBoot07ApplicationTests], using SpringBootContextLoader
15:44:30.890 [main] INFO  o.s.t.c.s.AbstractContextLoader - [generateDefaultLocations,264] - Could not detect default resource locations for test class [com.system.SpringBoot07ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
15:44:31.203 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - [getDefaultTestExecutionListenerClassNames,248] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
15:44:31.225 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - [getTestExecutionListeners,177] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1cdc4c27, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@77b14724, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5d9b7a8a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1e8ce150, org.springframework.test.context.support.DirtiesContextTestExecutionListener@604f2bd2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1d3ac898, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1b73be9f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@628c4ac0, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7b84fcf8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@30b19518, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@363042d7, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@366ac49b]
15:44:31.948 [main] INFO  c.s.SpringBoot07ApplicationTests - [logStarting,50] - Starting SpringBoot07ApplicationTests on DESKTOP-TF9UA8D with PID 9740 (started by Dragon in G:\shixi\20200605DEMO\20200605DEMO\ymgj\ymgj)
